15,62,75,12,33
55,77,73,43,28
58,5,19,85,66
11,32,74,41,93
68,25,87,39,21
66,2,85,89,93
83,54,75,79,20
59,97,20,61,67
69,86,33,46,23
69,23,8,86,46
63,42,98,14,18
3,41,74,93,32
72,45,15,0,75
70,18,64,35,34
95,63,10,98,42
0,75,62,12,72
17,49,79,84,62
49,16,84,71,79
70,13,35,10,42
58,2,21,29,85
79,84,97,16,59
29,87,85,4,19
52,25,4,39,88
69,9,8,86,33
44,58,19,2,38
22,4,52,87,39
89,93,74,85,32
9,57,80,46,86
78,65,96,30,43
87,85,21,4,25
60,96,28,65,78
90,34,64,96,13
88,26,93,3,74
8,62,0,86,69
64,31,13,70,76
18,42,10,70,13
47,53,40,48,42
81,91,44,68,19
66,5,41,2,74
52,68,82,4,25
53,47,36,77,48
11,74,3,38,66
98,35,10,48,18
73,78,28,35,65
24,19,58,81,37
72,12,15,75,0
86,57,80,8,69
36,48,40,53,98
98,42,10,14,47
17,16,84,71,79
31,90,76,34,64
95,14,48,98,63
22,25,39,4,82
40,36,47,77,73
6,83,72,75,67
1,28,77,73,43
88,22,32,52,82
80,46,86,71,17
19,2,21,85,5
7,97,20,84,94
30,28,96,65,78
67,97,7,59,6
0,15,75,33,79
14,10,95,92,70
13,34,70,31,18
96,78,28,30,64
5,38,2,74,93
54,61,6,97,83
4,39,25,21,52
8,86,23,33,9
18,13,64,63,92
49,17,80,84,57
45,12,75,83,54
43,78,35,28,36
93,26,89,66,5
15,83,0,12,62
92,34,63,70,64
1,55,53,73,40
65,43,28,96,73
16,20,17,49,75
57,46,71,17,49
91,37,68,19,44
39,52,99,22,68
6,75,54,72,15
49,17,16,71,94
29,87,89,5,21
8,46,69,33,57
29,21,85,25,4
32,22,56,26,25
26,93,85,74,5
31,96,64,34,65
81,68,37,21,4
63,70,76,95,14
74,26,89,66,5
84,71,49,20,17
14,63,10,92,98
65,78,30,28,90
7,59,20,6,67
48,42,10,14,35
82,39,68,52,4
